Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Type_Baking Goods,Item_Type_Breads,Item_Type_Breakfast,Item_Type_Canned,Item_Type_Dairy,Item_Type_Frozen Foods,Item_Type_Fruits and Vegetables,Item_Type_Hard Drinks,Item_Type_Health and Hygiene,Item_Type_Household,Item_Type_Meat,Item_Type_Others,Item_Type_Seafood,Item_Type_Snack Foods,Item_Type_Soft Drinks,Item_Type_Starchy Foods
9.3,0,0.016047301,249.8092,1999,2,1,1,3735.138,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.92,1,0.019278216,48.2692,2009,2,3,2,443.4228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17.5,0,0.016760075,141.618,1999,2,1,1,2097.27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8.93,0,0.0,53.8614,1987,3,3,1,994.7052,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10.395,1,0.0,51.4008,2009,2,3,2,556.6088,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.65,1,0.012741089,57.6588,1987,3,3,1,343.5528,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11.8,0,0.0,45.5402,1999,2,1,1,1516.0266,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18.5,1,0.045463773,144.1102,1997,1,1,1,2187.153,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15.1,1,0.1000135,145.4786,1999,2,1,1,1589.2646,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17.6,1,0.047257328,119.6782,1997,1,1,1,2145.2076,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16.35,0,0.0680243,196.4426,1987,3,3,1,1977.426,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9.0,1,0.069088961,56.3614,1997,1,1,1,1547.3192,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11.8,0,0.008596051,115.3492,2009,2,3,2,1621.8888,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9.0,1,0.069196376,54.3614,1999,2,1,1,718.3982,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13.35,0,0.10249212,230.5352,2004,1,2,1,2748.4224,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
